,Event,Date,Location,Link
0,Strictly Social Mondays: Salsa,Monday+ January 14+ 2019  8:00 PM – 11:00 PM,@ Robertson Gymnasium,https://events.ucsb.edu/event/strictly-social-mondays-salsa-2/
1,Vexed: The East L.A. Chicanx Punk Scene,Tuesday+ January 15+ 2019  6:00 PM – 7:00 PM,@ MultiCultural Center Lounge,https://events.ucsb.edu/event/vexed-the-east-l-a-chicanx-punk-scene/
2,Shari’a+ Inshallah: Searching for the Rule of Law in Somalia’s Islamic State,Wednesday+ January 16+ 2019  3:00 PM – 5:00 PM,@ *Other Venue,https://events.ucsb.edu/event/sharia-inshallah-searching-for-the-rule-of-law-in-somalias-islamic-state/
3,Crazy Rich Asians,Wednesday+ January 16+ 2019  6:00 PM – 8:00 PM,@ MultiCultural Center Theater,https://events.ucsb.edu/event/crazy-rich-asians/
4,Decolonizing HSIs: Moving from Theory to Practice,Thursday+ January 17+ 2019  6:00 PM – 7:00 PM,@ MultiCultural Center Theater,https://events.ucsb.edu/event/decolonizing-hsis-moving-from-theory-to-practice/
5,Tested,Wednesday+ January 23+ 2019  6:00 PM – 7:30 PM,@ MultiCultural Center Theater,https://events.ucsb.edu/event/tested/
6,Civic Imagination: Roadmaps+ Stories+ Research and Calls to Action,Tuesday+ January 29+ 2019  6:00 PM – 8:00 PM,@ MultiCultural Center Theater,https://events.ucsb.edu/event/civic-imagination-roadmaps-stories-research-and-calls-to-action/
7,Hailing Cesar,Wednesday+ January 30+ 2019  6:00 PM – 7:00 PM,@ MultiCultural Center Theater,https://events.ucsb.edu/event/hailing-cesar/
8,An Evening of Poetry with Kavi Ade,Thursday+ January 31+ 2019  7:30 PM – 9:30 PM,@ MultiCultural Center Lounge,https://events.ucsb.edu/event/an-evening-of-poetry-with-kavi-ade/
9,IV First Friday,Friday+ February 1+ 2019  8:00 PM – 11:00 PM,@ Isla Vista,https://events.ucsb.edu/event/iv-first-friday/
10,America to Me (Episodes 1 and 2),Wednesday+ February 6+ 2019  6:00 PM   until Thursday+ December 6+ 2018    – 7:00 PM,@ MultiCultural Center Theater,https://events.ucsb.edu/event/america-to-me-episodes-1-and-2/
11,“’Begin Again’: Fighting for Democracy in the Age of Trump”,Thursday+ February 7+ 2019  6:00 PM – 7:00 PM,@ MultiCultural Center Theater,https://events.ucsb.edu/event/begin-again-fighting-for-democracy-in-the-age-of-trump/
12,Life in America as an Undocumented Immigrant,Tuesday+ February 12+ 2019  6:00 PM – 7:30 PM,@ Campbell Hall,https://events.ucsb.edu/event/life-in-america-as-an-undocumented-immigrant/
13,PROFILED,Wednesday+ February 13+ 2019  6:00 PM – 7:00 PM,@ MultiCultural Center Theater,https://events.ucsb.edu/event/profiled/
14,A “New Dawn of Freedom” and the Frederick Douglass Family,Tuesday+ February 19+ 2019  6:00 PM – 7:00 PM,@ MultiCultural Center Lounge,https://events.ucsb.edu/event/a-new-dawn-of-freedom-and-the-frederick-douglass-family/
15,IMPROVability: Happy New Year Show!,Friday+ January 11+ 2019  8:00 PM – 9:30 PM,@ Embarcadero Hall,https://events.ucsb.edu/event/improvability-happy-new-year-show/
16,Yoga Nights,Friday+ January 11+ 2019  7:30 PM – 9:30 PM,@ Recreation Center,https://events.ucsb.edu/event/yoga-nights-2/
17,Improvability – Musical Show/Naughty Show,Friday+ December 7+ 2018  8:00 PM   until Saturday+ December 8+ 2018    – 12:00 AM,@ Embarcadero Hall,https://events.ucsb.edu/event/improvability-musical-show-naughty-show/
18,“Small Brains+ Smart Minds: From Bees and Birds to UAVs”–SAGE Center Lecture by Mandyam V. Srinivasan,Thursday+ December 6+ 2018  4:00 PM – 5:00 PM,@ Psych 1312 (SAGE Seminar Room),https://events.ucsb.edu/event/small-brains-smart-minds-from-bees-and-birds-to-uavs-sage-center-lecture-by-mandyam-v-srinivasan/
19,Improvability – Improv Show,Friday+ November 30+ 2018  8:00 PM – 9:30 PM,@ Embarcadero Hall,https://events.ucsb.edu/event/improvability-improv-show-6/
20,Cotillion Dance’s Fall Ball!,Friday+ November 30+ 2018  8:00 PM – 11:00 PM,@ Cotillion Dance’s Fall Ball!,https://events.ucsb.edu/event/cotillion-dances-fall-ball/
21,vFree CeCe!,Wednesday+ November 28+ 2018  6:00 PM – 7:00 PM,@ MultiCultural Center Theater,https://events.ucsb.edu/event/vfree-cece/
22,Building Resilience for Uncertain Water Futures,Thursday+ November 29+ 2018  3:30 PM – 4:45 PM,@ Buchanan 1930,https://events.ucsb.edu/event/building-resilience-for-uncertain-water-futures-3/
23,Improvability – Improv Show,Friday+ November 23+ 2018  8:00 PM – 9:30 PM,@ Embarcadero Hall,https://events.ucsb.edu/event/improvability-improv-show-5/
24,Improvability – Improv Show,Friday+ November 16+ 2018  8:00 PM – 9:30 PM,@ Embarcadero Hall,https://events.ucsb.edu/event/improvability-improv-show-4/
25,“Music in the Brain: How Neural Circuits in the Songbird Learn to Sing”–SAGE Center Lecture by Michale Fee,Thursday+ November 15+ 2018  4:00 PM – 5:00 PM,@ Psych 1312 (SAGE Seminar Room),https://events.ucsb.edu/event/music-in-the-brain-how-neural-circuits-in-the-songbird-learn-to-sing-sage-center-lecture-by-michale-fee/
26,Harvest Moon Swing Dance,Saturday+ November 10+ 2018  8:00 AM – 12:00 PM,@ Harvest Moon Swing Dance,https://events.ucsb.edu/event/harvest-moon-swing-dance-2/
27,Improvability – Improv Show,Friday+ November 9+ 2018  8:00 PM – 9:30 PM,@ Embarcadero Hall,https://events.ucsb.edu/event/improvability-improv-show-3/
28,22nd Colloquium on Mexican Literature “Literary (Dys)functions”,Thursday+ November 8+ 2018  5:00 PM   until Saturday+ November 10+ 2018    – 6:00 PM,@ MultiCultural Center Lounge,https://events.ucsb.edu/event/22nd-colloquium-on-mexican-literature-literary-dysfunctions/
29,“What’s the Purpose of Having More Than One Neuron?”–SAGE Center Lecture by Saul Kato,Thursday+ November 8+ 2018  4:00 PM – 5:00 PM,@ Psych 1312 (SAGE Seminar Room),https://events.ucsb.edu/event/whats-the-purpose-of-having-more-than-one-neuron-sage-center-lecture-by-saul-kato/
